,rb,rnb,x_equi,y_equi
445,1.05,-0.7999999999999998,90.93488263197104,34.06511736802913
446,1.05,-0.7499999999999998,108.68951628967245,41.310483710327695
447,1.05,-0.6999999999999997,126.28559492036001,48.714405079640116
448,1.05,-0.6499999999999997,143.71613962296942,56.2838603770307
449,1.05,-0.5999999999999996,160.9737170867984,64.0262829132018
450,1.05,-0.5499999999999996,178.05040100602005,71.94959899398017
451,1.05,-0.49999999999999956,194.93772953038152,80.06227046961874
452,1.05,-0.4499999999999995,211.6266582879594,88.3733417120409
453,1.05,-0.39999999999999947,228.10750845794917,96.89249154205118
454,1.05,-0.3499999999999994,244.3699093067983,105.63009069320196
455,1.05,-0.2999999999999994,260.40273452915477,114.59726547084556
456,1.05,-0.24999999999999933,276.194031655876,123.8059683441244
457,1.05,-0.1999999999999993,291.7309437048464,133.26905629515397
458,1.05,-0.14999999999999925,306.9996221572034,143.00037784279706
459,1.05,-0.0999999999999992,321.9851302432224,153.014869756778
460,1.05,-0.049999999999999156,336.67133542123315,163.32866457876722
461,1.05,8.881784197001252e-16,351.04078983404185,173.95921016595858
462,1.1,-1.0,37.27302434244433,12.72697565755572
463,1.1,-0.95,55.722494067042796,19.27750593295735
464,1.1,-0.8999999999999999,74.04062773832793,25.95937226167227
465,1.1,-0.8499999999999999,92.22207229240179,32.77792770759836
466,1.1,-0.7999999999999998,110.26114862278163,39.73885137721858
467,1.1,-0.7499999999999998,128.15182536776908,46.84817463223112
468,1.1,-0.6999999999999997,145.8876901048825,54.11230989511769
469,1.1,-0.6499999999999997,163.46191765193655,61.538082348063654
470,1.1,-0.5999999999999996,180.86723513529674,69.13276486470349
471,1.1,-0.5499999999999996,198.09588344135022,76.90411655865006
472,1.1,-0.49999999999999956,215.13957461658336,84.8604253834169
473,1.1,-0.4499999999999995,231.9894447240235,93.0105552759768
474,1.1,-0.39999999999999947,248.63600159829784,101.36399840170245
475,1.1,-0.3499999999999994,265.06906686725307,109.93093313274727
476,1.1,-0.2999999999999994,281.2777115239926,118.72228847600775
477,1.1,-0.24999999999999933,297.2501842384036,127.74981576159684
478,1.1,-0.1999999999999993,312.9738314909395,137.02616850906085
479,1.1,-0.14999999999999925,328.43500849305343,146.56499150694705
480,1.1,-0.0999999999999992,343.61897972815586,156.38102027184462
481,1.1,-0.049999999999999156,358.50980780504364,166.49019219495688
482,1.1,8.881784197001252e-16,373.0902291644363,176.9097708355642
483,1.1500000000000001,-1.0,56.45020824111036,18.549791758889764
484,1.1500000000000001,-0.95,75.0270232130496,24.97297678695051
485,1.1500000000000001,-0.8999999999999999,93.47591196478037,31.524088035219833
486,1.1500000000000001,-0.8499999999999999,111.79166531282637,38.20833468717382
487,1.1500000000000001,-0.7999999999999998,129.9687556004029,45.03124439959724
488,1.1500000000000001,-0.7499999999999998,148.00131087044176,51.998689129558464
489,1.1500000000000001,-0.6999999999999997,165.88308644618888,59.11691355381138
490,1.1500000000000001,-0.6499999999999997,183.60743361209668,66.39256638790356
491,1.1500000000000001,-0.5999999999999996,201.16726504633542,73.8327349536648
492,1.1500000000000001,-0.5499999999999996,218.55501660875464,81.44498339124564
493,1.1500000000000001,-0.49999999999999956,235.76260503360209,89.23739496639821
494,1.1500000000000001,-0.4499999999999995,252.78138101368873,97.2186189863116
495,1.1500000000000001,-0.39999999999999947,269.60207709076855,105.39792290923182
496,1.1500000000000001,-0.3499999999999994,286.21474968432767,113.7852503156727
497,1.1500000000000001,-0.2999999999999994,302.6087144962415,122.3912855037589
498,1.1500000000000001,-0.24999999999999933,318.7724744202292,131.22752557977125
499,1.1500000000000001,-0.1999999999999993,334.69363896098344,140.30636103901708
500,1.1500000000000001,-0.14999999999999925,350.35883402652763,149.64116597347288
501,1.1500000000000001,-0.0999999999999992,365.7536007971175,159.24639920288303
502,1.1500000000000001,-0.049999999999999156,380.86228219354643,169.1377178064541
503,1.1500000000000001,8.881784197001252e-16,395.66789526640963,179.33210473359088
504,1.2000000000000002,-1.0,75.98713402951233,24.01286597048784
505,1.2000000000000002,-0.95,94.69599894973739,30.304001050262816
