Realisation number,Variable,index,Coefficient of variation,Lag-1 AC,Variance,Smax,Smax/Var,Lag-3 AC,Standard deviation,Skewness,Kurtosis,Smax/Mean,Lag-2 AC,Cross correlation
56,Breeding,0,0.7273939565895873,0.9734430415661797,-0.9920556107249257,-0.8974358974358972,0.5384615384615383,0.8326571144843241,-0.9920556107249257,0.1518796992481203,0.3484465881685346,0.05128205128205127,0.5794013335224855,-0.2012804942047891
57,Non-breeding,0,0.6722939424031779,0.9734997872038588,-0.9806497375514258,-0.4102564102564102,0.3846153846153845,0.6007944389275075,-0.9806497375514258,0.055412115193644494,-0.135253227408143,0.10256410256410255,0.46108667896155486,-0.1989264240624953
57,Breeding,0,0.558802667044971,0.952730883813307,-0.9940417080436943,-0.9487179487179485,0.3589743589743589,0.12742232940842674,-0.9940417080436943,-0.026131366151227128,-0.06545609306284579,-0.4102564102564102,0.3721662647183998,-0.1989264240624953
58,Non-breeding,0,0.6137891899560222,0.9564760959001277,-0.9723081288125976,-0.9999999999999998,0.5384615384615383,0.7234785075897291,-0.9723081288125976,-0.19852461342034333,-0.5388282025819265,-0.025641025641025637,0.34509859554546746,0.5916512977373937
58,Breeding,0,0.10852603206128529,0.9476237764221876,-0.9930770322031495,-0.9487179487179485,0.5897435897435896,0.657029365867499,-0.9930770322031495,-0.43118172790466736,0.13366434955312811,-0.564102564102564,0.14819123279897858,0.5916512977373937
59,Non-breeding,0,0.7683075613562207,0.9769045254646049,-0.9748616825081573,-0.7948717948717947,0.30769230769230765,0.20017023691303734,-0.9748616825081573,0.32024400624202015,-0.3155908639523337,0.15384615384615383,0.45807916016456235,0.04777113040349062
59,Breeding,0,0.7470846928642362,0.9503475670307846,-0.9920556107249257,-0.9999999999999998,0.23076923076923073,0.3567881969073628,-0.9920556107249257,-0.1666335650446872,0.4445736983969358,-0.15384615384615383,0.5847921691020004,0.04777113040349062
60,Non-breeding,0,0.9428571428571431,0.9641367569868068,-0.9836005107107393,-0.9230769230769229,0.07692307692307691,0.8395800822811748,-0.9836005107107393,0.10404312668463613,-0.37891899560221315,-0.282051282051282,-0.10659668038019579,-0.31992862819186424
60,Breeding,0,0.6975457511703789,0.9607887643637396,-0.9940984536813734,-0.9230769230769229,0.3846153846153845,0.6538516101574692,-0.9940984536813734,0.25549723365016314,0.2911902397503192,-0.30769230769230765,0.4993899843949497,-0.31992862819186424
61,Non-breeding,0,0.9147680522059867,0.9707192509575827,-0.9860405731309407,-0.8205128205128204,0.46153846153846145,0.6432401759114769,-0.9860405731309407,0.4925237622357782,0.25356788196907365,0.05128205128205127,0.46778266420768905,-0.43025504925554403
61,Breeding,0,0.8838984253085546,0.9435380905092922,-0.9943254362320898,-0.9999999999999998,0.2051282051282051,0.2973755142573415,-0.9943254362320898,0.6411973329550291,0.604880124840403,-0.7435897435897434,0.6218470705064548,-0.43025504925554403
62,Non-breeding,0,0.9715136898850901,0.9294651723648746,-0.9896722939424033,-0.769230769230769,0.7179487179487178,0.08968648035182296,-0.9896722939424033,-0.560448290537665,0.661966236345581,0.4871794871794871,0.6796141296637822,0.4782510908191265
