,Time,Non-breeding,Breeding,rnb
14,995,3.713629957188755e-38,3.613204010987495e-39,-2.33
15,996,3.39400222843226e-38,3.3022198243885575e-39,-2.33
16,997,3.101884479444285e-38,3.0180016781295814e-39,-2.33
17,998,2.8349089588729426e-38,2.7582458508435246e-39,-2.33
18,999,2.590911704918772e-38,2.52084689973087e-39,-2.33
19,1000,2.3679150054095124e-38,2.303880594958335e-39,-2.33
0,981,2.1411705077856272e-33,2.104205031904051e-34,-2.32
1,982,1.9765494961378866e-33,1.9424260610996428e-34,-2.32
2,983,1.8245851493271522e-33,1.793085248648487e-34,-2.32
3,984,1.6843043767181957e-33,1.6552263034921642e-34,-2.32
4,985,1.554808902439121e-33,1.5279664577227439e-34,-2.32
5,986,1.4352695133490171e-33,1.4104908138543498e-34,-2.32
6,987,1.3249207492428699e-33,1.30204712669714e-34,-2.32
7,988,1.2230560012929224e-33,1.2019409864198814e-34,-2.32
8,989,1.1290229873397714e-33,1.1095313719562704e-34,-2.32
9,990,1.0422195750596152e-33,1.024226546281624e-34,-2.32
10,991,9.620899262616645e-34,9.454802672756957e-35,-2.32
11,992,8.881209376260558e-34,8.727882899082004e-35,-2.32
12,993,8.198389550908381e-34,8.05685137349098e-35,-2.32
13,994,7.568067408488919e-34,7.437411203277144e-35,-2.32
14,995,6.9862067353320685e-34,6.865595856544232e-35,-2.32
15,996,6.449081636621448e-34,6.337743762860339e-35,-2.32
16,997,5.953252677947138e-34,5.850474866706327e-35,-2.32
17,998,5.495544861183019e-34,5.400668983580785e-35,-2.32
18,999,5.07302729365912e-34,4.985445820166721e-35,-2.32
19,1000,4.682994420442291e-34,4.6021465306208294e-35,-2.32
0,981,3.449232036121026e-29,3.4237508882499795e-30,-2.31
1,982,3.216042633900856e-29,3.192284169101782e-30,-2.31
2,983,2.998618276403206e-29,2.9764660306540975e-30,-2.31
3,984,2.795893149175377e-29,2.7752385321418698e-30,-2.31
4,985,2.6068734934085013e-29,2.5876152561339353e-30,-2.31
5,986,2.430632734530717e-29,2.412676473113629e-30,-2.31
6,987,2.2663069401375361e-29,2.249564632963628e-30,-2.31
7,988,2.113090584994199e-29,2.0974801612542798e-30,-2.31
8,989,1.970232602350036e-29,1.9556775397288224e-30,-2.31
9,990,1.8370327022083877e-29,1.823461651772024e-30,-2.31
10,991,1.712837938504225e-29,1.7001843749477277e-30,-2.31
11,992,1.5970395083617843e-29,1.585241403901919e-30,-2.31
12,993,1.4890697677421618e-29,1.4780692880571786e-30,-2.31
13,994,1.3883994488515778e-29,1.3781426695772984e-30,-2.31
14,995,1.294535065670036e-29,1.2849717080625586e-30,-2.31
15,996,1.2070164948822827e-29,1.1980996793515202e-30,-2.31
16,997,1.1254147203527802e-29,1.117100736658656e-30,-2.31
17,998,1.0493297300881135e-29,1.0415778230729131e-30,-2.31
18,999,9.783885553777339e-30,9.711607251842755e-31,-2.31
19,1000,9.122434425009079e-30,9.055042582971977e-31,-2.31
0,981,5.4468022242901145e-25,5.460900929941225e-26,-2.3
1,982,5.129605156284231e-25,5.14288281723589e-26,-2.3
2,983,4.8308802074793775e-25,4.8433846376526065e-26,-2.3
3,984,4.549551645398196e-25,4.561327874248023e-26,-2.3
4,985,4.284606383345884e-25,4.295696818016024e-26,-2.3
5,986,4.035090332203833e-25,4.045534910238204e-26,-2.3
6,987,3.8001049646782557e-25,3.809941297839279e-26,-2.3
7,988,3.5788040796314066e-25,3.588067589342977e-26,-2.3
8,989,3.370390754843479e-25,3.3791147997463493e-26,-2.3
9,990,3.174114477231834e-25,3.182330473310754e-26,-2.3
10,991,2.9892684401932506e-25,2.9970059739084444e-26,-2.3
11,992,2.8151869983367125e-25,2.8224739331670945e-26,-2.3
12,993,2.651243270441016e-25,2.6581058472228095e-26,-2.3
13,994,2.4968468820052627e-25,2.5033098134273545e-26,-2.3
14,995,2.3514418392629725e-25,2.3575283988592858e-26,-2.3
15,996,2.214504527003982e-25,2.2202366329633365e-26,-2.3
16,997,2.085541822994113e-25,2.09094011708938e-26,-2.3
17,998,1.9640893222024952e-25,1.969173244123275e-26,-2.3
18,999,1.8497096644418365e-25,1.8544975217983386e-26,-2.3
19,1000,1.7419909593993441e-25,1.746499993649558e-26,-2.3
0,981,8.369007790777997e-21,8.47499808199673e-22,-2.29
1,982,7.960846464463747e-21,8.061667548182405e-22,-2.29
2,983,7.572591400930394e-21,7.668495382373632e-22,-2.29
3,984,7.203271760286075e-21,7.294498449361653e-22,-2.29
4,985,6.851964051059169e-21,6.938741562007637e-22,-2.29
5,986,6.517789820988595e-21,6.600335142787711e-22,-2.29
6,987,6.199913460435594e-21,6.278432999385793e-22,-2.29
7,988,5.897540112924381e-21,5.97223020877204e-22,-2.29
8,989,5.6099136875869355e-21,5.680961104476007e-22,-2.29
9,990,5.336314968541999e-21,5.403897362021653e-22,-2.29
10,991,5.076059816480752e-21,5.140346177736784e-22,-2.29
11,992,4.828497457962186e-21,4.889648536383007e-22,-2.29
12,993,4.593008858140531e-21,4.651177563274367e-22,-2.29
13,994,4.3690051728557e-21,4.4243369567641095e-22,-2.29
